Id	TargetSkill	unlockPrice
a1.r1.slot1	PinkColor	0
a1.r2.slot2	Cocktail	0
a1.r2.slot1	Karaoke	1000
a1.r3.slot1	TeddyBear	0
a2.r1.slot1	PinkColor	0
a2.r2.slot1	TeddyBear	0
a2.r2.slot2	Gym	2000
a2.r3.slot3	Cocktail	5000
a3.r1.slot1	Cocktail	0
a3.r1.slot2	VIP	15000
a3.r2.slot1	Gym	0
a3.r2.slot2	Gym	20000
a3.r2.slot3	Gym	50000
a3.r3.slot1	Gym	0
a3.r3.slot2	Gym	30000
a3.r4.slot1	Gym	0
a4.r1.slot1	Gym	0
a4.r1.slot2	Gym	50000
a4.r2.slot1	Gym	0
a4.r2.slot2	Gym	70000
a5.r1.slot1	Gym	0
a6.r1.slot1	Gym	0
a6.r1.slot2	Gym	50000
a6.r2.slot1	Gym	0
a6.r2.slot2	Gym	70000
a6.r2.slot3	Gym	100000
a6.r3.slot1	Gym	0
a6.r3.slot2	Gym	500000
a6.r3.slot3	VIP	1000000
